,trade_date,symbol,prev_day_close,next_day_close,pct_over_prev_close,day_pct_chg
2165,20250108,NSE:JUBLINGREA-EQ,832.9,788.0,1.37,-5.39
2166,20250109,NSE:JUBLINGREA-EQ,788.0,758.0,1.31,-3.81
2167,20250110,NSE:JUBLINGREA-EQ,758.0,739.0,1.59,-2.51
2168,20250113,NSE:JUBLINGREA-EQ,739.0,708.0,3.5,-4.19
2169,20250114,NSE:JUBLINGREA-EQ,708.0,720.1,1.62,-1.71
2170,20250115,NSE:JUBLINGREA-EQ,720.1,714.95,1.25,-0.72
2171,20250116,NSE:JUBLINGREA-EQ,714.95,712.4,1.52,-0.36
2172,20250117,NSE:JUBLINGREA-EQ,712.4,712.45,1.01,-0.01
2173,20250120,NSE:JUBLINGREA-EQ,712.45,707.0,0.47,-0.76
2174,20250121,NSE:JUBLINGREA-EQ,707.0,683.85,2.59,-3.27
2175,20241217,NSE:RAILTEL-EQ,440.95,436.5,1.52,-1.01
2176,20241218,NSE:RAILTEL-EQ,436.5,426.0,1.42,-2.41
2177,20241219,NSE:RAILTEL-EQ,426.0,418.2,1.88,-1.83
2178,20241220,NSE:RAILTEL-EQ,418.2,402.25,1.21,-3.81
2179,20241223,NSE:RAILTEL-EQ,402.25,395.5,1.06,-1.68
2180,20241224,NSE:RAILTEL-EQ,395.5,396.85,0.72,-0.34
2181,20241226,NSE:RAILTEL-EQ,396.85,401.0,1.73,-1.05
2182,20241227,NSE:RAILTEL-EQ,401.0,399.9,0.77,-0.27
2183,20241230,NSE:RAILTEL-EQ,399.9,393.95,0.84,-1.49
2184,20241231,NSE:RAILTEL-EQ,393.95,403.5,2.03,-2.42
2185,20250101,NSE:RAILTEL-EQ,403.5,405.1,1.19,-0.4
2186,20250102,NSE:RAILTEL-EQ,405.1,421.45,2.93,-4.04
2187,20250103,NSE:RAILTEL-EQ,421.45,422.0,1.46,-0.13
2188,20250106,NSE:RAILTEL-EQ,422.0,395.0,1.43,-6.4
2189,20250107,NSE:RAILTEL-EQ,395.0,402.0,1.28,-1.77
2190,20250108,NSE:RAILTEL-EQ,402.0,408.5,1.09,-1.62
2191,20250109,NSE:RAILTEL-EQ,408.5,400.35,0.95,-2.0
2192,20250110,NSE:RAILTEL-EQ,400.35,382.5,1.39,-4.46
2193,20250113,NSE:RAILTEL-EQ,382.5,361.8,2.64,-5.41
2194,20250114,NSE:RAILTEL-EQ,361.8,379.6,1.78,-4.92
2195,20250115,NSE:RAILTEL-EQ,379.6,376.5,1.48,-0.82
2196,20250116,NSE:RAILTEL-EQ,376.5,411.8,2.92,-9.38
2197,20250117,NSE:RAILTEL-EQ,411.8,414.0,2.38,-0.53
2198,20250120,NSE:RAILTEL-EQ,414.0,415.0,1.34,-0.24
2199,20250121,NSE:RAILTEL-EQ,415.0,401.0,1.08,-3.37
2200,20241217,NSE:REDINGTON-EQ,213.8,209.46,0.52,-2.03
2201,20241218,NSE:REDINGTON-EQ,209.46,207.99,0.63,-0.7
2202,20241219,NSE:REDINGTON-EQ,207.99,208.0,1.37,-0.0
2203,20241220,NSE:REDINGTON-EQ,208.0,207.48,1.57,-0.25
2204,20241223,NSE:REDINGTON-EQ,207.48,206.1,0.99,-0.67
2205,20241224,NSE:REDINGTON-EQ,206.1,207.5,0.92,-0.68
2206,20241226,NSE:REDINGTON-EQ,207.5,206.51,0.98,-0.48
2207,20241227,NSE:REDINGTON-EQ,206.51,202.5,0.89,-1.94
2208,20241230,NSE:REDINGTON-EQ,202.5,189.89,1.8,-6.23
2209,20241231,NSE:REDINGTON-EQ,189.89,199.6,4.58,-5.11
2210,20250101,NSE:REDINGTON-EQ,199.6,199.5,2.26,-0.05
2211,20250102,NSE:REDINGTON-EQ,199.5,200.7,2.8,-0.6
2212,20250103,NSE:REDINGTON-EQ,200.7,201.0,0.55,-0.15
